frame_nb,letter_count,pixel_norm_diff,hist_norm_diff,x_flow,y_flow,nb_flow_points,is_credit
10,55,10921.063913374008,4521.951569842384,-1.962574,7.079067,4,False
20,99,9558.131616587,1551.566949892914,0.012920604,-0.16919483,34,False
30,97,476.43257655202376,748.4303574815763,0.0031356812,-0.0049944427,38,False
40,96,37.73592452822641,14.89966442575134,0.0002895448,0.00021957769,41,False
50,96,5.656854249492381,23.664319132398465,0.00030368712,-5.247535e-05,41,False
60,91,267.0393229470147,278.65749586185547,-0.00088910357,0.0007502858,41,False
70,87,29.916550603303182,15.937377450509228,0.00030397114,0.0004083734,38,False
80,88,20.37154878746336,49.61854492022111,3.8146973e-05,3.7745427e-05,38,False
90,83,241.14518448436826,131.75735273600483,0.003829153,-0.0029971474,38,False
100,83,15.524174696260024,55.136195008360886,8.277893e-05,-6.5231325e-05,40,False
110,83,28.178005607210743,58.378078077305695,-7.8201294e-05,-0.0004436493,40,False
120,94,242.49536078036627,268.6186888509435,-0.0004665375,0.001960373,40,False
130,93,24.839484696748443,109.08712114635715,-1.6403199e-05,-0.00017433167,40,False
140,89,69.84983894040128,67.43886120034946,-0.000120544435,0.00079803466,40,False
150,0,893.0962993988946,227065.07308698975,3.054947,4.746585,40,False
160,13,45092.70822427946,62868.31319512239,-51.84749,-38.61598,51,False
170,27,42766.311168956345,20768.62032008867,0.39538684,-9.891269,96,False
180,30,7533.9718608447165,2214.066846326009,0.3521448,-0.85245496,100,False
190,25,4418.442938411676,1023.9912108997811,-0.53222287,-0.13191365,100,False
200,32,5179.8901532754535,1394.3206230992928,-0.37431136,-0.39011157,100,False
210,34,6500.5513612308305,1655.1912276229596,-0.054694634,-0.6196793,100,False
220,43,12439.900401530553,3630.264728638946,0.48375034,-1.9481246,100,False
230,33,11504.794174603907,3266.1668665271836,2.8065255,-2.6231484,100,False
240,15,10942.30962822749,3767.60215521756,5.8150325,-2.8335032,97,False
250,32,13738.499263019961,4598.909653385245,7.704174,-6.2237797,89,False
260,18,14099.428463593835,4369.102424983877,7.398654,-4.6594443,90,False
270,23,14486.294764362625,3811.89401741444,9.484351,-5.737277,89,False
280,18,16339.1821092734,9861.972317949387,10.932268,-11.055231,42,False
290,33,15305.020516157436,6194.395692882397,8.27545,-10.31636,64,False
300,25,17498.61585954729,9495.54611383674,8.851957,-11.316662,38,False
310,29,17003.517136169212,6280.895795983245,7.028872,-7.2257767,55,False
320,35,13418.948356708137,6881.162401803927,5.9021125,-8.494431,47,False
330,29,11223.012563478667,4457.528238833715,5.110941,-1.1248351,61,False
340,34,13718.109672983373,1906.2586393246852,0.0,0.0,0,False
350,37,13965.386102789998,4874.2437362118035,0.0,0.0,0,False
360,38,12512.197249084591,4811.006131777427,-0.36769408,3.8614008,15,False
370,46,12048.189034041588,5020.208959794403,0.1581759,5.8151636,37,False
380,43,13001.392233141803,3473.782664473988,0.053022597,5.913235,9,False
390,48,13569.835002681499,5060.534359136394,0.34035698,0.34899023,52,False
400,39,12905.116117261401,2584.918567382733,0.99568784,3.5115354,30,False
410,47,12176.096541995714,2549.567806511527,-0.08793183,3.7378876,35,False
420,46,12652.794315881374,3004.900996705216,0.01012386,6.236441,22,False
430,50,13114.951734566162,3063.084719690267,0.09751765,5.0934405,60,False
440,51,16195.801369490799,3414.9603218778398,-0.018529149,6.2097726,59,False
450,62,13897.28905218568,2657.0333080336045,-1.3973758,4.9532413,65,False
460,59,15745.278816203923,3169.282568658087,-3.2729204,4.637836,54,False
470,90,40148.69400117518,26458.540020190077,-259.89566,13.88643,7,False
480,40,21414.321983196198,32499.446241436177,10.828277,-30.134798,22,False
490,4,31764.99464819725,32088.09124893533,118.76767,-12.811104,1,False
500,5,15892.109331363159,22127.49366738131,75.2655,-14.628293,19,False
510,11,20585.544321197824,11402.88279339922,-43.952515,2.7770793,3,False
520,10,13582.787195564833,9469.318349279425,-15.539743,-6.6239495,16,False
530,12,8181.428542742398,3793.4013760739845,10.915663,3.9167347,8,False
540,7,12513.675039731534,10347.25867077846,27.813997,3.4024022,9,False
550,11,10337.435030025581,5495.109462058058,-19.742933,-12.374665,10,False
560,12,6519.491314512199,4825.656017579371,-10.962479,-3.8208332,12,False
570,12,7061.6173076710975,2755.073501741832,-11.66439,0.7177695,14,False
580,13,7862.519379944319,1685.9531428838702,9.946658,-0.5971959,6,False
590,12,5795.570636270427,2354.0972792134144,3.9293976,-3.9250104,14,False
600,11,4612.5590511125165,1771.9130904195047,2.2738445,3.3105767,12,False
610,10,2936.994382017099,3655.374946568409,-0.12945418,2.0475273,11,False
620,3,2672.481618271677,20600.309657866797,7.3118024,-6.5956736,18,False
630,10,42145.52786476876,44895.069395201965,-34.50318,38.79134,5,False
640,9,17109.536434398215,7133.326012457303,-62.187164,51.307392,3,False
650,10,11709.90602011818,9305.66762784917,-65.34867,15.564339,4,False
660,2,10650.601720090748,15014.087784477617,-36.977047,5.8742905,6,False
670,4,17444.511887696943,50438.65928035756,-71.27737,-17.504969,6,False
680,17,26118.95323323659,30675.15854889751,0.0,0.0,0,False
690,10,23723.221809020797,17401.463041939893,10.844114,-16.169136,2,False
700,7,27076.483634327407,12278.55064736877,9.140224,-17.993202,2,False
710,21,20519.59278348379,12629.158245900635,10.317421,-17.59851,2,False
720,24,18981.376267278407,14300.500340897168,-3.0512009,-13.766377,3,False
730,28,23237.2831458413,12257.939386373226,22.119091,-7.1610017,5,False
740,28,20329.398515450477,13883.508274207928,-0.6946678,18.658985,4,False
750,20,14575.25495488844,9612.8941531674,8.527036,1.1873322,5,False
760,14,11855.111682308185,5372.712350386907,6.4721856,-0.01842753,3,False
770,23,13228.127796479743,4114.990643974783,6.1727905,0.43894196,2,False
780,24,13898.573056252933,3816.2746232418863,7.3904495,1.1534424,2,False
790,20,15312.988506493433,8584.460495569887,6.077089,1.5961914,3,False
800,19,16144.630097961364,7846.9269144041355,4.471361,1.5624313,2,False
810,27,15352.310542716363,7564.208220296425,9.033883,-0.8036601,3,False
820,20,13915.571996867395,5887.706514424781,0.022144953,-1.4283777,6,False
830,5,15322.175237217463,9236.97764422974,-0.12158356,-2.0266418,5,False
840,12,12852.666727181562,8118.531271110557,-0.45999083,-3.9860103,6,False
850,16,12671.082313677865,8255.291878546754,0.04219273,-9.050247,7,False
860,24,12839.027494323704,5098.543713650007,3.2114964,-4.2858963,8,False
870,23,14881.192156544448,7346.003130954955,-0.33073997,-4.8713703,8,False
880,17,14036.189547024505,6215.9250317229535,3.3705852,1.4142196,10,False
890,8,14969.021344095945,5551.312457428423,4.912026,-2.575618,10,False
900,14,14870.526755969338,3132.2467974283254,1.711284,1.168069,7,False
910,3,14373.49915643369,3805.3178579456408,2.4114964,3.563357,6,False
920,12,15416.135280932118,5352.4669078846255,-0.3223896,5.0089226,4,False
930,5,15109.900165123527,4969.502792030607,3.1744976,-0.6080246,10,False
940,4,13794.814279286256,2568.9289597028564,1.6090666,0.36511013,7,False
950,10,14319.457217366866,3336.505357406159,3.1641736,-0.98925745,20,False
960,15,15878.796837292175,2158.8974037688777,1.6764911,-0.011955261,21,False
970,15,16241.60167594317,2085.727211310242,0.037965607,3.3849075,23,False
980,12,15575.877631774076,2143.6725496213267,0.6782868,1.3001282,25,False
